Field,StrategyOrDate,SHORT_ONLY,Value
AggReturn,2019-04-17 00:00:00,False,0.004875659859913
AggReturn,2019-04-18 00:00:00,True,0.0134381623276942
AggReturn,2019-04-18 00:00:00,False,-0.0004058366584271
AggReturn,2019-04-22 00:00:00,True,-0.0058330358939029
AggReturn,2019-04-22 00:00:00,False,-0.001717003103689
AggReturn,2019-04-23 00:00:00,True,0.0340724927308462
AggReturn,2019-04-23 00:00:00,False,0.0181577741894577
AggReturn,2019-04-24 00:00:00,True,-0.0209297108863252
AggReturn,2019-04-24 00:00:00,False,-0.0094688168920169
AggReturn,2019-04-25 00:00:00,True,0.0054848288181052
AggReturn,2019-04-25 00:00:00,False,0.0026321659355896
AggReturn,2019-04-26 00:00:00,True,0.0376000500563845
AggReturn,2019-04-26 00:00:00,False,0.0227358626848265
AggReturn,2019-04-29 00:00:00,True,0.0250860044018681
AggReturn,2019-04-29 00:00:00,False,0.0161890475841575
AggReturn,2019-04-30 00:00:00,True,0.0030672180344633
AggReturn,2019-04-30 00:00:00,False,0.0006909931868573
AggReturn,2019-05-01 00:00:00,True,0.0312209039896997
AggReturn,2019-05-01 00:00:00,False,0.0198817914097604
AggReturn,2019-05-02 00:00:00,True,-0.0568757810998175
AggReturn,2019-05-02 00:00:00,False,-0.0483338581285997
AggReturn,2019-05-03 00:00:00,True,0.06995748762276
AggReturn,2019-05-03 00:00:00,False,0.0583593076725865
AggReturn,2019-05-06 00:00:00,True,0.0076729073782617
AggReturn,2019-05-06 00:00:00,False,0.0093662431930539
AggReturn,2019-05-07 00:00:00,True,-0.0140625670760587
AggReturn,2019-05-07 00:00:00,False,-0.0111159098594562
AggReturn,2019-05-08 00:00:00,True,0.0156026340509004
AggReturn,2019-05-08 00:00:00,False,0.0135258943585617
AggReturn,2019-05-09 00:00:00,True,-0.046273020557004
AggReturn,2019-05-09 00:00:00,False,-0.0359409149875948
AggReturn,2019-05-10 00:00:00,True,0.0201172724493257
AggReturn,2019-05-10 00:00:00,False,0.0175169935001898
AggReturn,2019-05-13 00:00:00,True,0.0263543721151042
AggReturn,2019-05-13 00:00:00,False,0.0183503150765357
AggReturn,2019-05-14 00:00:00,True,0.0559255801580911
AggReturn,2019-05-14 00:00:00,False,0.0448517398792011
AggReturn,2019-05-15 00:00:00,True,-0.0101202048916476
AggReturn,2019-05-15 00:00:00,False,-0.0043078580998741
AggReturn,2019-05-16 00:00:00,True,-0.0097132249245468
AggReturn,2019-05-16 00:00:00,False,-0.0055689929312397
AggReturn,2019-05-17 00:00:00,True,0.0337527610248371
AggReturn,2019-05-17 00:00:00,False,0.0289138972657716
AggReturn,2019-05-20 00:00:00,True,0.0652687198393571
AggReturn,2019-05-20 00:00:00,False,0.0544057916281762
AggReturn,2019-05-21 00:00:00,True,0.001813591633055
AggReturn,2019-05-21 00:00:00,False,0.000370860504685
AggReturn,2019-05-22 00:00:00,True,0.0066277448905539
AggReturn,2019-05-22 00:00:00,False,0.0068238411800263
AggReturn,2019-05-23 00:00:00,True,0.1051507092221183
AggReturn,2019-05-23 00:00:00,False,0.0830991825270639
AggReturn,2019-05-24 00:00:00,True,0.0538192342333129
AggReturn,2019-05-24 00:00:00,False,0.04511009371598
AggReturn,2019-05-28 00:00:00,True,-0.0183373257747783
AggReturn,2019-05-28 00:00:00,False,-0.0169495968166482
AggReturn,2019-05-29 00:00:00,True,0.0555502127411552
AggReturn,2019-05-29 00:00:00,False,0.0456578223358902
AggReturn,2019-05-30 00:00:00,True,-0.0161227086931953
AggReturn,2019-05-30 00:00:00,False,-0.015029789359061
AggReturn,2019-05-31 00:00:00,True,0.0268483151549523
AggReturn,2019-05-31 00:00:00,False,0.0208908884443642
AggReturn,2019-06-03 00:00:00,True,0.0175018326892702
AggReturn,2019-06-03 00:00:00,False,0.0131326738367921
AggReturn,2019-06-04 00:00:00,True,0.0288407419471182
AggReturn,2019-06-04 00:00:00,False,0.0136354313779194
AggReturn,2019-06-05 00:00:00,True,-0.0219248074429954
AggReturn,2019-06-05 00:00:00,False,-0.0097936540978825
AggReturn,2019-06-06 00:00:00,True,0.01837255975187
AggReturn,2019-06-06 00:00:00,False,0.0519871520507986
AggReturn,2019-06-07 00:00:00,True,0.0404146071559933
AggReturn,2019-06-07 00:00:00,False,0.0101498085822792
AggReturn,2019-06-10 00:00:00,True,-0.0010808006237909
AggReturn,2019-06-10 00:00:00,False,0.0123483595181165
AggReturn,2019-06-11 00:00:00,True,-0.0102777683052081
AggReturn,2019-06-11 00:00:00,False,-0.0054617573325018
AggReturn,2019-06-12 00:00:00,True,0.0352473353586039
AggReturn,2019-06-12 00:00:00,False,0.0132550739566543
AggReturn,2019-06-13 00:00:00,True,-0.0490715220619698
AggReturn,2019-06-13 00:00:00,False,-0.0289197489611197
AggReturn,2019-06-14 00:00:00,True,-0.0272929152105194
AggReturn,2019-06-14 00:00:00,False,-0.0353590595845553
AggReturn,2019-06-17 00:00:00,True,-0.0187831387236542
AggReturn,2019-06-17 00:00:00,False,0.0136413125511562
AggReturn,2019-06-18 00:00:00,True,0.0037670999442844
AggReturn,2019-06-18 00:00:00,False,0.0188140707134791
AggReturn,2019-06-19 00:00:00,True,-0.0446947674418605
AggReturn,2019-06-19 00:00:00,False,-0.0351133499379873
AggReturn,2019-06-20 00:00:00,True,0.024942767927816
AggReturn,2019-06-20 00:00:00,False,0.0167746178214976
AggReturn,2019-06-21 00:00:00,True,-0.095819924538593
AggReturn,2019-06-21 00:00:00,False,-0.0596785585601258
AggReturn,2019-06-24 00:00:00,True,-0.0199368264585655
AggReturn,2019-06-24 00:00:00,False,0.012405422342457
AggReturn,2019-06-25 00:00:00,True,0.0089979436379023
AggReturn,2019-06-25 00:00:00,False,-0.0050548112557139
AggReturn,2019-06-26 00:00:00,True,0.0095758128984965
AggReturn,2019-06-26 00:00:00,False,0.0018214124889899
AggReturn,2019-06-27 00:00:00,True,0.0147588736847938
AggReturn,2019-06-27 00:00:00,False,0.007174902788576
AggReturn,2019-06-28 00:00:00,True,0.0522703110367318
AggReturn,2019-06-28 00:00:00,False,0.0272603690068975
AggReturn,2019-07-01 00:00:00,True,0.0161562408272933
AggReturn,2019-07-01 00:00:00,False,0.0254216827554381
AggReturn,2019-07-02 00:00:00,True,-0.0186775449945991
AggReturn,2019-07-02 00:00:00,False,-0.0134341818437218
AggReturn,2019-07-03 00:00:00,True,0.0938568632150847
AggReturn,2019-07-03 00:00:00,False,0.0440932989903327
AggReturn,2019-07-05 00:00:00,True,0.0022595116788912
AggReturn,2019-07-05 00:00:00,False,0.0044832114257735
AggReturn,2019-07-08 00:00:00,True,0.0276742593712673
AggReturn,2019-07-08 00:00:00,False,0.01118324093041
AggReturn,2019-07-09 00:00:00,True,0.0211744364909221
AggReturn,2019-07-09 00:00:00,False,0.0111721473376826
AggReturn,2019-07-10 00:00:00,True,-0.5860177944884917
AggReturn,2019-07-10 00:00:00,False,-0.2463737790183299
AggReturn,2019-07-11 00:00:00,True,0.1605378002055883
AggReturn,2019-07-11 00:00:00,False,0.070626410411229
AggReturn,2019-07-12 00:00:00,True,0.0835924648083915
