Field,StrategyOrDate,TOP_N_COUNT,Value
AggReturn,2019-02-26 00:00:00,6,-0.0233057033493068
AggReturn,2019-02-26 00:00:00,8,-0.0200718652559679
AggReturn,2019-02-27 00:00:00,2,-0.0092211402615947
AggReturn,2019-02-27 00:00:00,4,0.0109747253059292
AggReturn,2019-02-27 00:00:00,6,0.0132347613398044
AggReturn,2019-02-27 00:00:00,8,0.0141103932478326
AggReturn,2019-02-28 00:00:00,2,-0.030054420163125
AggReturn,2019-02-28 00:00:00,4,0.0030260068517758
AggReturn,2019-02-28 00:00:00,6,0.0130560761248368
AggReturn,2019-02-28 00:00:00,8,0.0136728736325545
AggReturn,2019-03-01 00:00:00,2,0.0163700058240236
AggReturn,2019-03-01 00:00:00,4,0.0043475875663263
AggReturn,2019-03-01 00:00:00,6,-0.0093370835568586
AggReturn,2019-03-01 00:00:00,8,-0.0078911940510618
AggReturn,2019-03-04 00:00:00,2,-0.0123767317567345
AggReturn,2019-03-04 00:00:00,4,-0.0058575552780792
AggReturn,2019-03-04 00:00:00,6,-0.0058575552780792
AggReturn,2019-03-04 00:00:00,8,-0.0114779690087323
AggReturn,2019-03-05 00:00:00,2,0.0079675134059731
AggReturn,2019-03-05 00:00:00,4,-0.0018143393629407
AggReturn,2019-03-05 00:00:00,6,-0.0018143393629407
AggReturn,2019-03-05 00:00:00,8,0.0039119900959196
AggReturn,2019-03-06 00:00:00,2,0.0072549214363949
AggReturn,2019-03-06 00:00:00,4,0.0099118372393813
AggReturn,2019-03-06 00:00:00,6,0.0099118372393813
AggReturn,2019-03-06 00:00:00,8,0.0088862446671086
AggReturn,2019-03-07 00:00:00,2,-0.0081788100888578
AggReturn,2019-03-07 00:00:00,4,0.0046000246003335
AggReturn,2019-03-07 00:00:00,6,0.0046000246003335
AggReturn,2019-03-07 00:00:00,8,0.0022362565073301
AggReturn,2019-03-08 00:00:00,2,-0.2162152752069149
AggReturn,2019-03-08 00:00:00,4,-0.1655203405834259
AggReturn,2019-03-08 00:00:00,6,-0.1655203405834259
AggReturn,2019-03-08 00:00:00,8,-0.1300478351446912
AggReturn,2019-03-11 00:00:00,2,-0.0189161267230454
AggReturn,2019-03-11 00:00:00,4,-0.0210256536119771
AggReturn,2019-03-11 00:00:00,6,-0.0210256536119771
AggReturn,2019-03-11 00:00:00,8,-0.0149927794458304
AggReturn,2019-03-12 00:00:00,2,0.0487420385677222
AggReturn,2019-03-12 00:00:00,4,0.0481776278691957
AggReturn,2019-03-12 00:00:00,6,0.0481776278691957
AggReturn,2019-03-12 00:00:00,8,0.0335445245591131
AggReturn,2019-03-13 00:00:00,2,0.0376868739084321
AggReturn,2019-03-13 00:00:00,4,0.03216192682473
AggReturn,2019-03-13 00:00:00,6,0.03216192682473
AggReturn,2019-03-13 00:00:00,8,0.0197392658588387
AggReturn,2019-03-14 00:00:00,2,0.0231490150543798
AggReturn,2019-03-14 00:00:00,4,0.0002398231041512
AggReturn,2019-03-14 00:00:00,6,0.0002398231041512
AggReturn,2019-03-14 00:00:00,8,0.0069119690599926
AggReturn,2019-03-15 00:00:00,2,-0.0449977500655963
AggReturn,2019-03-15 00:00:00,4,0.0044618210433253
AggReturn,2019-03-15 00:00:00,6,0.0044618210433253
AggReturn,2019-03-15 00:00:00,8,-0.0001008991779291
AggReturn,2019-03-18 00:00:00,2,0.0262663175221882
AggReturn,2019-03-18 00:00:00,4,0.0529639409756151
AggReturn,2019-03-18 00:00:00,6,0.0529639409756151
AggReturn,2019-03-18 00:00:00,8,0.0378714595482543
AggReturn,2019-03-19 00:00:00,2,-0.0021345034923385
AggReturn,2019-03-19 00:00:00,4,0.0273572703902045
AggReturn,2019-03-19 00:00:00,6,0.0273572703902045
AggReturn,2019-03-19 00:00:00,8,0.0168817290947349
AggReturn,2019-03-20 00:00:00,2,0.0030731373596655
AggReturn,2019-03-20 00:00:00,4,-0.0017005627122825
AggReturn,2019-03-20 00:00:00,6,-0.0017005627122825
AggReturn,2019-03-20 00:00:00,8,0.0047559001798407
AggReturn,2019-03-21 00:00:00,2,-0.0241146425697631
AggReturn,2019-03-21 00:00:00,4,-0.0116135273907191
AggReturn,2019-03-21 00:00:00,6,-0.0116135273907191
AggReturn,2019-03-21 00:00:00,8,-0.0103399145403063
AggReturn,2019-03-22 00:00:00,2,0.0268596824490841
AggReturn,2019-03-22 00:00:00,4,0.0115521100303621
AggReturn,2019-03-22 00:00:00,6,0.0115521100303621
AggReturn,2019-03-22 00:00:00,8,0.0105781117229614
AggReturn,2019-03-25 00:00:00,2,0.0192913438052705
AggReturn,2019-03-25 00:00:00,4,0.0186106631434196
AggReturn,2019-03-25 00:00:00,6,0.0186106631434196
AggReturn,2019-03-25 00:00:00,8,0.0166192792297238
AggReturn,2019-03-26 00:00:00,2,0.0067113288269064
AggReturn,2019-03-26 00:00:00,4,-0.0030037538874872
AggReturn,2019-03-26 00:00:00,6,-0.0030037538874872
AggReturn,2019-03-26 00:00:00,8,-0.0016994480665929
AggReturn,2019-03-27 00:00:00,2,-0.0040483205831091
AggReturn,2019-03-27 00:00:00,4,0.0240476766683091
AggReturn,2019-03-27 00:00:00,6,0.0240476766683091
AggReturn,2019-03-27 00:00:00,8,0.0157390787809326
AggReturn,2019-03-28 00:00:00,2,-0.0099546308192404
AggReturn,2019-03-28 00:00:00,4,0.0269434112364407
AggReturn,2019-03-28 00:00:00,6,0.0269434112364407
AggReturn,2019-03-28 00:00:00,8,0.0288471389802158
AggReturn,2019-03-29 00:00:00,2,0.02590208362956
AggReturn,2019-03-29 00:00:00,4,0.0193085680183906
AggReturn,2019-03-29 00:00:00,6,0.0193085680183906
AggReturn,2019-03-29 00:00:00,8,0.0124259694973758
AggReturn,2019-04-01 00:00:00,2,-0.003510802331041
AggReturn,2019-04-01 00:00:00,4,0.0091672440111401
AggReturn,2019-04-01 00:00:00,6,0.0091672440111401
AggReturn,2019-04-01 00:00:00,8,0.0120195680990206
AggReturn,2019-04-02 00:00:00,2,-0.0036975977314497
AggReturn,2019-04-02 00:00:00,4,-0.0116081537028179
AggReturn,2019-04-02 00:00:00,6,-0.011608956837826
AggReturn,2019-04-02 00:00:00,8,0.004705455567457
AggReturn,2019-04-03 00:00:00,2,0.01832417267565
AggReturn,2019-04-03 00:00:00,4,0.0206677579867003
AggReturn,2019-04-03 00:00:00,6,0.015542902070883
AggReturn,2019-04-03 00:00:00,8,0.0143474151853533
AggReturn,2019-04-04 00:00:00,2,0.020765967818045
AggReturn,2019-04-04 00:00:00,4,0.0119613414346568
AggReturn,2019-04-04 00:00:00,6,0.0118878635291113
AggReturn,2019-04-04 00:00:00,8,0.0147673761190439
AggReturn,2019-04-05 00:00:00,2,0.0169699796807261
AggReturn,2019-04-05 00:00:00,4,0.0078725259770061
AggReturn,2019-04-05 00:00:00,6,0.0130440051622212
AggReturn,2019-04-05 00:00:00,8,0.0139817605125261
AggReturn,2019-04-08 00:00:00,2,0.0044054643322746
AggReturn,2019-04-08 00:00:00,4,-0.0063499888370961
AggReturn,2019-04-08 00:00:00,6,-0.0097287798812241
AggReturn,2019-04-08 00:00:00,8,-0.0237184773943354
AggReturn,2019-04-09 00:00:00,2,0.0296225525229235
AggReturn,2019-04-09 00:00:00,4,0.0210440733430493
AggReturn,2019-04-09 00:00:00,6,0.0180954852465797
AggReturn,2019-04-09 00:00:00,8,0.0224718494659918
AggReturn,2019-04-10 00:00:00,2,-0.0175036330299945
AggReturn,2019-04-10 00:00:00,4,-0.115663971545976
AggReturn,2019-04-10 00:00:00,6,-0.0713025249074425
AggReturn,2019-04-10 00:00:00,8,-0.0556663668341963
AggReturn,2019-04-11 00:00:00,2,0.0452454794520456
AggReturn,2019-04-11 00:00:00,4,0.0611232546502707
AggReturn,2019-04-11 00:00:00,6,0.0443558661051366
AggReturn,2019-04-11 00:00:00,8,0.0289403418004958
AggReturn,2019-04-12 00:00:00,2,0.0015527687106929
AggReturn,2019-04-12 00:00:00,4,0.0236651032744485
AggReturn,2019-04-12 00:00:00,6,0.0136652001648458
AggReturn,2019-04-12 00:00:00,8,0.0133914923047546
AggReturn,2019-04-15 00:00:00,2,-0.0215842952300744
AggReturn,2019-04-15 00:00:00,4,-0.0161726410101692
AggReturn,2019-04-15 00:00:00,6,-0.0334988058183536
AggReturn,2019-04-15 00:00:00,8,-0.0257795793841612
AggReturn,2019-04-16 00:00:00,2,0.0377833142380169
AggReturn,2019-04-16 00:00:00,4,0.0342118873987922
AggReturn,2019-04-16 00:00:00,6,0.0363894462117591
AggReturn,2019-04-16 00:00:00,8,0.0311596979131783
AggReturn,2019-04-17 00:00:00,2,-0.0045084656530302
AggReturn,2019-04-17 00:00:00,4,0.004875659859913
AggReturn,2019-04-17 00:00:00,6,-0.0003711984463962
AggReturn,2019-04-17 00:00:00,8,0.001687688017432
AggReturn,2019-04-18 00:00:00,2,0.0013199362659958
AggReturn,2019-04-18 00:00:00,4,-0.0004058366584271
AggReturn,2019-04-18 00:00:00,6,0.0084469316964252
AggReturn,2019-04-18 00:00:00,8,0.0044705842828404
AggReturn,2019-04-22 00:00:00,2,0.0111551741513956
AggReturn,2019-04-22 00:00:00,4,-0.001717003103689
AggReturn,2019-04-22 00:00:00,6,-0.0024161232788229
AggReturn,2019-04-22 00:00:00,8,0.0015805000178729
AggReturn,2019-04-23 00:00:00,2,0.0104365965278219
AggReturn,2019-04-23 00:00:00,4,0.0181577741894577
AggReturn,2019-04-23 00:00:00,6,0.008624564133602
AggReturn,2019-04-23 00:00:00,8,0.0090321627243378
AggReturn,2019-04-24 00:00:00,2,-0.0125145510054783
AggReturn,2019-04-24 00:00:00,4,-0.0094688168920169
AggReturn,2019-04-24 00:00:00,6,-0.0077476690745494
AggReturn,2019-04-24 00:00:00,8,-0.0097160147355852
AggReturn,2019-04-25 00:00:00,2,0.0302027416430003
AggReturn,2019-04-25 00:00:00,4,0.0026321659355896
AggReturn,2019-04-25 00:00:00,6,-0.0019935102261995
AggReturn,2019-04-25 00:00:00,8,0.0030383167570434
AggReturn,2019-04-26 00:00:00,2,0.0153299045815734
AggReturn,2019-04-26 00:00:00,4,0.0227358626848265
AggReturn,2019-04-26 00:00:00,6,0.0037945587219923
AggReturn,2019-04-26 00:00:00,8,0.0038093732791132
AggReturn,2019-04-29 00:00:00,2,-0.006817925513305
AggReturn,2019-04-29 00:00:00,4,0.0161890475841575
AggReturn,2019-04-29 00:00:00,6,0.0255669428729509
AggReturn,2019-04-29 00:00:00,8,0.0208690778847839
AggReturn,2019-04-30 00:00:00,2,0.0222127316048632
AggReturn,2019-04-30 00:00:00,4,0.0006909931868573
AggReturn,2019-04-30 00:00:00,6,0.0160106702395865
AggReturn,2019-04-30 00:00:00,8,0.0140550839936988
AggReturn,2019-05-01 00:00:00,2,0.0116697510093862
AggReturn,2019-05-01 00:00:00,4,0.0198817914097604
AggReturn,2019-05-01 00:00:00,6,0.010173544805432
AggReturn,2019-05-01 00:00:00,8,0.0074073991225094
AggReturn,2019-05-02 00:00:00,2,-0.0339318885448917
AggReturn,2019-05-02 00:00:00,4,-0.0483338581285997
AggReturn,2019-05-02 00:00:00,6,-0.0417401865892886
AggReturn,2019-05-02 00:00:00,8,-0.0191520933695254
AggReturn,2019-05-03 00:00:00,2,0.04935125115848
AggReturn,2019-05-03 00:00:00,4,0.0583593076725865
AggReturn,2019-05-03 00:00:00,6,0.0536016788585666
AggReturn,2019-05-03 00:00:00,8,0.0260127585293751
AggReturn,2019-05-06 00:00:00,2,0.0397435897435897
AggReturn,2019-05-06 00:00:00,4,0.0093662431930539
AggReturn,2019-05-06 00:00:00,6,0.0101526205012539
AggReturn,2019-05-06 00:00:00,8,0.0173551622185478
AggReturn,2019-05-07 00:00:00,2,-0.0351731601731601
AggReturn,2019-05-07 00:00:00,4,-0.0111159098594562
AggReturn,2019-05-07 00:00:00,6,-0.0172719337096755
AggReturn,2019-05-07 00:00:00,8,-0.0385745149078557
AggReturn,2019-05-08 00:00:00,2,0.0386002886002885
AggReturn,2019-05-08 00:00:00,4,0.0135258943585617
AggReturn,2019-05-08 00:00:00,6,0.0168477918134495
AggReturn,2019-05-08 00:00:00,8,-0.0126751124448516
AggReturn,2019-05-09 00:00:00,2,0.0304059328649492
