Field,StrategyOrDate,EWM_COM,Value
AggReturn,2020-10-23 00:00:00,2,0.0034420403304222
AggReturn,2020-10-23 00:00:00,4,0.0034420403304222
AggReturn,2020-10-23 00:00:00,8,0.0030290319875284
AggReturn,2020-10-26 00:00:00,None,-0.000741704197595
AggReturn,2020-10-26 00:00:00,2,0.0152649722672263
AggReturn,2020-10-26 00:00:00,4,0.0152649722672263
AggReturn,2020-10-26 00:00:00,8,0.014825479661776
AggReturn,2020-10-27 00:00:00,None,-0.0047066929070735
AggReturn,2020-10-27 00:00:00,2,-0.0016362980654214
AggReturn,2020-10-27 00:00:00,4,-0.0016362980654214
AggReturn,2020-10-27 00:00:00,8,-0.0003470615655185
AggReturn,2020-10-28 00:00:00,None,-0.0050075465280448
AggReturn,2020-10-28 00:00:00,2,0.0088654176605274
AggReturn,2020-10-28 00:00:00,4,0.0088654176605274
AggReturn,2020-10-28 00:00:00,8,0.0127182539794976
AggReturn,2020-10-29 00:00:00,None,0.0124161839712218
AggReturn,2020-10-29 00:00:00,2,0.0258101553352403
AggReturn,2020-10-29 00:00:00,4,0.0258101553352403
AggReturn,2020-10-29 00:00:00,8,0.0351464827736646
AggReturn,2020-10-30 00:00:00,None,-0.0022699068059091
AggReturn,2020-10-30 00:00:00,2,-0.0071935852433141
AggReturn,2020-10-30 00:00:00,4,-0.0071935852433141
AggReturn,2020-10-30 00:00:00,8,-0.0063547726387771
AggReturn,2020-11-02 00:00:00,None,0.0026952225980144
AggReturn,2020-11-02 00:00:00,2,0.0131109304172439
AggReturn,2020-11-02 00:00:00,4,0.0131109304172439
AggReturn,2020-11-02 00:00:00,8,0.0190261223831785
AggReturn,2020-11-03 00:00:00,None,-0.0064154700971456
AggReturn,2020-11-03 00:00:00,2,-0.005205367399199
AggReturn,2020-11-03 00:00:00,4,-0.0052046375378357
AggReturn,2020-11-03 00:00:00,8,-0.0044758441670358
AggReturn,2020-11-04 00:00:00,None,0.0084788410101879
AggReturn,2020-11-04 00:00:00,2,-0.0155290852104819
AggReturn,2020-11-04 00:00:00,4,-0.0115466673288997
AggReturn,2020-11-04 00:00:00,8,-0.0037508748963938
AggReturn,2020-11-05 00:00:00,None,-0.0227354633554209
AggReturn,2020-11-05 00:00:00,2,0.0019521685658917
AggReturn,2020-11-05 00:00:00,4,0.0016732873421929
AggReturn,2020-11-05 00:00:00,8,0.0134668565336231
AggReturn,2020-11-06 00:00:00,None,0.0020535882011659
AggReturn,2020-11-06 00:00:00,2,-0.0087155349736373
AggReturn,2020-11-06 00:00:00,4,-0.0049724531497478
AggReturn,2020-11-06 00:00:00,8,-0.0017816843503109
AggReturn,2020-11-09 00:00:00,None,-0.0008392451111892
AggReturn,2020-11-09 00:00:00,2,0.0029352342317462
AggReturn,2020-11-09 00:00:00,4,0.0009521683711446
AggReturn,2020-11-09 00:00:00,8,0.0018377812805947
AggReturn,2020-11-10 00:00:00,None,0.0273183787458129
AggReturn,2020-11-10 00:00:00,2,-0.0576962848128563
AggReturn,2020-11-10 00:00:00,4,-0.0494539584110197
AggReturn,2020-11-10 00:00:00,8,-0.0536167817709422
AggReturn,2020-11-11 00:00:00,None,0.036547391918727
AggReturn,2020-11-11 00:00:00,2,0.0363376720143868
AggReturn,2020-11-11 00:00:00,4,0.0311465760123315
AggReturn,2020-11-11 00:00:00,8,0.0223989308442893
AggReturn,2020-11-12 00:00:00,None,-0.0031476906265054
AggReturn,2020-11-12 00:00:00,2,0.0137440345717022
AggReturn,2020-11-12 00:00:00,4,0.0080901373604129
AggReturn,2020-11-12 00:00:00,8,0.0110621484646729
AggReturn,2020-11-13 00:00:00,None,-0.0183314251540706
AggReturn,2020-11-13 00:00:00,2,-0.0126984698951038
AggReturn,2020-11-13 00:00:00,4,-0.0102034601634023
AggReturn,2020-11-13 00:00:00,8,-0.0082882938026728
AggReturn,2020-11-16 00:00:00,None,-0.0166303189144757
AggReturn,2020-11-16 00:00:00,2,-0.0247515435876297
AggReturn,2020-11-16 00:00:00,4,-0.024239350353361
AggReturn,2020-11-16 00:00:00,8,-0.0245365104633544
AggReturn,2020-11-17 00:00:00,None,0.0038648608541288
AggReturn,2020-11-17 00:00:00,2,0.0302257970551465
AggReturn,2020-11-17 00:00:00,4,0.0268791575422246
AggReturn,2020-11-17 00:00:00,8,0.024635231913999
AggReturn,2020-11-18 00:00:00,None,-0.0126789211285396
AggReturn,2020-11-18 00:00:00,2,-0.0271084411249922
AggReturn,2020-11-18 00:00:00,4,-0.0232358066785648
AggReturn,2020-11-18 00:00:00,8,-0.019630849501162
AggReturn,2020-11-19 00:00:00,None,0.0113594574890039
AggReturn,2020-11-19 00:00:00,2,-0.0356775500774029
AggReturn,2020-11-19 00:00:00,4,-0.0305807572092025
AggReturn,2020-11-19 00:00:00,8,-0.0248764256526427
AggReturn,2020-11-20 00:00:00,None,0.0037867219682513
AggReturn,2020-11-20 00:00:00,2,-0.0126126521452727
AggReturn,2020-11-20 00:00:00,4,-0.0120793804384371
AggReturn,2020-11-20 00:00:00,8,-0.0060438495633813
AggReturn,2020-11-23 00:00:00,None,-0.0017044806074256
AggReturn,2020-11-23 00:00:00,2,-0.0030761166924575
AggReturn,2020-11-23 00:00:00,4,-0.0026366714506779
AggReturn,2020-11-23 00:00:00,8,0.0030227544973655
AggReturn,2020-11-24 00:00:00,None,0.0008745814658614
AggReturn,2020-11-24 00:00:00,2,-0.0235517148135651
AggReturn,2020-11-24 00:00:00,4,-0.0220176912527244
AggReturn,2020-11-24 00:00:00,8,-0.0169234817602502
AggReturn,2020-11-25 00:00:00,None,-0.0120926598152592
AggReturn,2020-11-25 00:00:00,2,-0.0040817230890504
AggReturn,2020-11-25 00:00:00,4,-0.0085356573731772
AggReturn,2020-11-25 00:00:00,8,-0.0083584409252544
AggReturn,2020-11-27 00:00:00,None,-0.0063155987228781
AggReturn,2020-11-27 00:00:00,2,-0.0090850250428271
AggReturn,2020-11-27 00:00:00,4,-0.0077871643224232
AggReturn,2020-11-27 00:00:00,8,-0.0040433963142183
AggReturn,2020-11-30 00:00:00,None,-0.0115132510888
AggReturn,2020-11-30 00:00:00,2,0.0058877806412722
AggReturn,2020-11-30 00:00:00,4,0.010841405074265
AggReturn,2020-11-30 00:00:00,8,0.0136678172778197
AggReturn,2020-12-01 00:00:00,None,-0.0057892560093146
AggReturn,2020-12-01 00:00:00,2,0.0141544004773679
AggReturn,2020-12-01 00:00:00,4,0.0125133326688994
AggReturn,2020-12-01 00:00:00,8,0.0131176101361062
AggReturn,2020-12-02 00:00:00,None,-0.0075328030236953
AggReturn,2020-12-02 00:00:00,2,-0.003176486100097
AggReturn,2020-12-02 00:00:00,4,-0.003176486100097
AggReturn,2020-12-02 00:00:00,8,0.0105411901493173
AggReturn,2020-12-03 00:00:00,None,0.0069963453262376
AggReturn,2020-12-03 00:00:00,2,0.0072227692328382
AggReturn,2020-12-03 00:00:00,4,0.0072227692328382
AggReturn,2020-12-03 00:00:00,8,0.0014437195673391
AggReturn,2020-12-04 00:00:00,None,0.0068059479808838
