Field,StrategyOrDate,EWM_COM,Value
AggReturn,2019-03-04 00:00:00,None,-0.0009355258815241
AggReturn,2019-03-04 00:00:00,2,-0.0010642171700175
AggReturn,2019-03-04 00:00:00,4,-0.0012162481943057
AggReturn,2019-03-04 00:00:00,8,-0.0012162481943057
AggReturn,2019-03-05 00:00:00,None,-0.0226107698195447
AggReturn,2019-03-05 00:00:00,2,0.0028360336305019
AggReturn,2019-03-05 00:00:00,4,0.0032411812920021
AggReturn,2019-03-05 00:00:00,8,0.0032411812920021
AggReturn,2019-03-06 00:00:00,None,0.0142637047142472
AggReturn,2019-03-06 00:00:00,2,0.0027750052647758
AggReturn,2019-03-06 00:00:00,4,0.0031714345883153
AggReturn,2019-03-06 00:00:00,8,0.0031714345883153
AggReturn,2019-03-07 00:00:00,None,-0.0023435187572641
AggReturn,2019-03-07 00:00:00,2,-0.0063257244556114
AggReturn,2019-03-07 00:00:00,4,-0.0072293993778416
AggReturn,2019-03-07 00:00:00,8,-0.0072293993778416
AggReturn,2019-03-08 00:00:00,None,0.0268676073402296
AggReturn,2019-03-08 00:00:00,2,0.0245923177751664
AggReturn,2019-03-08 00:00:00,4,0.0281055060287617
AggReturn,2019-03-08 00:00:00,8,0.0281055060287617
AggReturn,2019-03-11 00:00:00,None,0.0056391052900086
AggReturn,2019-03-11 00:00:00,2,0.1965139905232077
AggReturn,2019-03-11 00:00:00,4,0.2245874177408088
AggReturn,2019-03-11 00:00:00,8,0.2245874177408088
AggReturn,2019-03-12 00:00:00,None,-0.0118595455340548
AggReturn,2019-03-12 00:00:00,2,-0.0255259237048051
AggReturn,2019-03-12 00:00:00,4,-0.029172484234063
AggReturn,2019-03-12 00:00:00,8,-0.029172484234063
AggReturn,2019-03-13 00:00:00,None,0.0136772812378691
AggReturn,2019-03-13 00:00:00,2,-0.0095921364869953
AggReturn,2019-03-13 00:00:00,4,-0.0109624416994232
AggReturn,2019-03-13 00:00:00,8,-0.0109624416994232
AggReturn,2019-03-14 00:00:00,None,0.0003602824966102
AggReturn,2019-03-14 00:00:00,2,-0.0315152451751673
AggReturn,2019-03-14 00:00:00,4,-0.0360174230573341
AggReturn,2019-03-14 00:00:00,8,-0.0360174230573341
AggReturn,2019-03-15 00:00:00,None,0.0048414120847162
AggReturn,2019-03-15 00:00:00,2,0.0107707185000626
AggReturn,2019-03-15 00:00:00,4,0.0123093925715001
AggReturn,2019-03-15 00:00:00,8,0.0123093925715001
AggReturn,2019-03-18 00:00:00,None,-0.0140264667961576
AggReturn,2019-03-18 00:00:00,2,-0.0158530577166181
AggReturn,2019-03-18 00:00:00,4,-0.0181177802475636
AggReturn,2019-03-18 00:00:00,8,-0.0181177802475636
AggReturn,2019-03-19 00:00:00,None,0.0063446482859369
AggReturn,2019-03-19 00:00:00,2,-0.0115536655006984
AggReturn,2019-03-19 00:00:00,4,-0.0132041891436553
AggReturn,2019-03-19 00:00:00,8,-0.0132041891436553
AggReturn,2019-03-20 00:00:00,None,0.0174021046445468
AggReturn,2019-03-20 00:00:00,2,-0.0107963737513906
AggReturn,2019-03-20 00:00:00,4,-0.0123387128587322
AggReturn,2019-03-20 00:00:00,8,-0.0123387128587322
AggReturn,2019-03-21 00:00:00,None,-0.0084967995887805
AggReturn,2019-03-21 00:00:00,2,-0.0511625857887662
AggReturn,2019-03-21 00:00:00,4,-0.0584715266157328
AggReturn,2019-03-21 00:00:00,8,-0.0584715266157328
AggReturn,2019-03-22 00:00:00,None,0.0234436533425747
AggReturn,2019-03-22 00:00:00,2,0.0374576084145228
AggReturn,2019-03-22 00:00:00,4,0.0428086953308832
AggReturn,2019-03-22 00:00:00,8,0.0428086953308832
AggReturn,2019-03-25 00:00:00,None,0.0075239987359897
AggReturn,2019-03-25 00:00:00,2,0.0103622740673965
AggReturn,2019-03-25 00:00:00,4,0.0118425989341674
AggReturn,2019-03-25 00:00:00,8,0.0118425989341674
AggReturn,2019-03-26 00:00:00,None,0.010169853267906
AggReturn,2019-03-26 00:00:00,2,0.0217564102589902
AggReturn,2019-03-26 00:00:00,4,0.0248644688674174
AggReturn,2019-03-26 00:00:00,8,0.0248644688674174
AggReturn,2019-03-27 00:00:00,None,0.0124837460600988
AggReturn,2019-03-27 00:00:00,2,0.0449415980668344
AggReturn,2019-03-27 00:00:00,4,0.0513618263620965
AggReturn,2019-03-27 00:00:00,8,0.0513618263620965
AggReturn,2019-03-28 00:00:00,None,-0.0087032096744855
AggReturn,2019-03-28 00:00:00,2,-0.034771521037231
AggReturn,2019-03-28 00:00:00,4,-0.0397388811854069
AggReturn,2019-03-28 00:00:00,8,-0.0397388811854069
AggReturn,2019-03-29 00:00:00,None,0.01674463308374
AggReturn,2019-03-29 00:00:00,2,-0.0004641843853938
AggReturn,2019-03-29 00:00:00,4,-0.00053049644045
AggReturn,2019-03-29 00:00:00,8,-0.00053049644045
AggReturn,2019-04-01 00:00:00,None,0.0050653848347628
AggReturn,2019-04-01 00:00:00,2,-0.0100980486023406
AggReturn,2019-04-01 00:00:00,4,-0.0115406269741035
AggReturn,2019-04-01 00:00:00,8,-0.0115406269741035
AggReturn,2019-04-02 00:00:00,None,0.0195594133843058
AggReturn,2019-04-02 00:00:00,2,-0.0022471246639792
AggReturn,2019-04-02 00:00:00,4,-0.0025640309284128
AggReturn,2019-04-02 00:00:00,8,-0.0025636135899668
AggReturn,2019-04-03 00:00:00,None,0.0094454871931825
AggReturn,2019-04-03 00:00:00,2,0.0174671813132591
AggReturn,2019-04-03 00:00:00,4,0.013336372363173
AggReturn,2019-04-03 00:00:00,8,0.0096422987907494
AggReturn,2019-04-04 00:00:00,None,0.0261552145686014
AggReturn,2019-04-04 00:00:00,2,0.0171547949508237
AggReturn,2019-04-04 00:00:00,4,0.0200595301018485
AggReturn,2019-04-04 00:00:00,8,0.0255308122433728
AggReturn,2019-04-05 00:00:00,None,0.0185609058086958
AggReturn,2019-04-05 00:00:00,2,0.0077695740257888
AggReturn,2019-04-05 00:00:00,4,0.0092493275809308
AggReturn,2019-04-05 00:00:00,8,0.0137749798151326
AggReturn,2019-04-08 00:00:00,None,-0.0353184044823642
AggReturn,2019-04-08 00:00:00,2,-0.039247421027841
AggReturn,2019-04-08 00:00:00,4,-0.0503882413723552
AggReturn,2019-04-08 00:00:00,8,-0.0381373302484299
AggReturn,2019-04-09 00:00:00,None,0.0621467687453609
AggReturn,2019-04-09 00:00:00,2,0.0067181265999797
AggReturn,2019-04-09 00:00:00,4,0.0019976554618862
AggReturn,2019-04-09 00:00:00,8,0.0298729485291504
AggReturn,2019-04-10 00:00:00,None,-0.0066891781804756
AggReturn,2019-04-10 00:00:00,2,-0.0162764100409745
AggReturn,2019-04-10 00:00:00,4,0.0044156584531125
AggReturn,2019-04-10 00:00:00,8,0.0018475721142153
AggReturn,2019-04-11 00:00:00,None,0.0032872632070404
